"DATE","TIME","IP","HOSTNAME","REFERRER","AGENT","PAGE","DOC_ROOT","SCRIPT","PATH","LOOKING_FOR","KEYWORDS"
"2016-12-26","13:27:07","::1","DESKTOP-1GL1JAV","http://localhost/puppy/","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.87 Safari/537.36","C:/xampp/htdocs/puppy/index.php","C:/xampp/htdocs","/puppy/index.php","NULL","/puppy/vegas",""
"2016-12-26","13:28:10","::1","DESKTOP-1GL1JAV","http://localhost/puppy/","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.87 Safari/537.36","C:/xampp/htdocs/puppy/index.php","C:/xampp/htdocs","/puppy/index.php","NULL","/puppy/vegas",""
"2016-12-26","13:28:19","::1","DESKTOP-1GL1JAV","http://localhost/puppy/","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.87 Safari/537.36","C:/xampp/htdocs/puppy/index.php","C:/xampp/htdocs","/puppy/index.php","NULL","/puppy/vegas",""
"2016-12-26","13:29:00","::1","DESKTOP-1GL1JAV","http://localhost/puppy/","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.87 Safari/537.36","C:/xampp/htdocs/puppy/index.php","C:/xampp/htdocs","/puppy/index.php","NULL","/puppy/vegas",""
"2016-12-26","13:29:35","::1","DESKTOP-1GL1JAV","http://localhost/puppy/editor/edit.php?name=vegas.txt","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.87 Safari/537.36","C:/xampp/htdocs/puppy/index.php","C:/xampp/htdocs","/puppy/index.php","NULL","/puppy/editor/markitup/sets/default/style.css",""
"2016-12-26","13:29:35","::1","DESKTOP-1GL1JAV","http://localhost/puppy/editor/edit.php?name=vegas.txt","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.87 Safari/537.36","C:/xampp/htdocs/puppy/index.php","C:/xampp/htdocs","/puppy/index.php","NULL","/puppy/editor/markitup/skins/markitup/style.css",""
"2016-12-26","13:29:37","::1","DESKTOP-1GL1JAV","http://localhost/puppy/","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.87 Safari/537.36","C:/xampp/htdocs/puppy/index.php","C:/xampp/htdocs","/puppy/index.php","NULL","/puppy/vegas",""
"2016-12-26","13:29:47","::1","DESKTOP-1GL1JAV","http://localhost/puppy/","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.87 Safari/537.36","C:/xampp/htdocs/puppy/index.php","C:/xampp/htdocs","/puppy/index.php","NULL","/puppy/vegas",""
"2016-12-26","13:30:15","::1","DESKTOP-1GL1JAV","http://localhost/puppy/editor/edit.php?name=vegas.txt","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.87 Safari/537.36","C:/xampp/htdocs/puppy/index.php","C:/xampp/htdocs","/puppy/index.php","NULL","/puppy/editor/markitup/skins/markitup/style.css",""
"2016-12-26","13:30:15","::1","DESKTOP-1GL1JAV","http://localhost/puppy/editor/edit.php?name=vegas.txt","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.87 Safari/537.36","C:/xampp/htdocs/puppy/index.php","C:/xampp/htdocs","/puppy/index.php","NULL","/puppy/editor/markitup/sets/default/style.css",""
"2016-12-26","13:30:17","::1","DESKTOP-1GL1JAV","http://localhost/puppy/","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.87 Safari/537.36","C:/xampp/htdocs/puppy/index.php","C:/xampp/htdocs","/puppy/index.php","NULL","/puppy/vegas",""
"2016-12-26","13:30:37","::1","DESKTOP-1GL1JAV","http://localhost/puppy/","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.87 Safari/537.36","C:/xampp/htdocs/puppy/index.php","C:/xampp/htdocs","/puppy/index.php","NULL","/puppy/vegas",""
"2016-12-26","13:31:46","::1","DESKTOP-1GL1JAV","http://localhost/puppy/","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.87 Safari/537.36","C:/xampp/htdocs/puppy/index.php","C:/xampp/htdocs","/puppy/index.php","NULL","/puppy/vegas",""
"2016-12-26","13:32:26","::1","DESKTOP-1GL1JAV","http://localhost/puppy/","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.87 Safari/537.36","C:/xampp/htdocs/puppy/index.php","C:/xampp/htdocs","/puppy/index.php","NULL","/puppy/vegas",""
"2016-12-26","13:32:34","::1","DESKTOP-1GL1JAV","http://localhost/puppy/","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.87 Safari/537.36","C:/xampp/htdocs/puppy/index.php","C:/xampp/htdocs","/puppy/index.php","NULL","/puppy/vegas",""
"2016-12-26","13:32:42","::1","DESKTOP-1GL1JAV","http://localhost/puppy/","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.87 Safari/537.36","C:/xampp/htdocs/puppy/index.php","C:/xampp/htdocs","/puppy/index.php","NULL","/puppy/vegas",""
"2016-12-26","13:32:51","::1","DESKTOP-1GL1JAV","http://localhost/puppy/editor/edit.php?name=vegas.txt","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.87 Safari/537.36","C:/xampp/htdocs/puppy/index.php","C:/xampp/htdocs","/puppy/index.php","NULL","/puppy/editor/markitup/skins/markitup/style.css",""
